,EpisodeCount,InstanceUUID,StepCount,Time,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0],Method,Target_WinRate,Error_WinRate
31620,33,97aafaed-0c2b-4946-8536-c0e435e0f321,40,2023-05-16 19:55:09.152,0,0,1,1,10,0,1,10.63355,0.5192176,0.9399336,1,1,1,0,0,0.8482814,0,0,1,0,0.4566667,Heuristic,0.3,0.1566667
30868,11,02b13f42-c709-43e9-833b-374c09f1f51d,40,2023-05-16 13:23:14.600,0,2,1,1,10,0,1,8.001974,0.5617054,0.960548,1,1,1,0,0,0.9166666,0,0,1,0,0.31,Heuristic,0.3,0.01
31585,57,874f0cfd-7fc3-47b5-a272-2e8f8856aa0e,40,2023-05-17 02:03:45.339,0,1,1,1,10,0,1,7.309844,0.5166667,1.129043,1,1,1,0,0,0.9050106,0,0,1,0,0.11,Heuristic,0.3,0.19
29756,36,fb8ca3d3-cf0e-4762-8d12-b7444e6f0322,40,2023-05-16 20:46:08.671,0,9,1,1,10,0,1,12.3709,0.5106863,0.8218618,1,1,1,0,0,0.6742772,0,0,1,0,0.34,Heuristic,0.3,0.04
31573,45,874f0cfd-7fc3-47b5-a272-2e8f8856aa0e,40,2023-05-16 22:47:24.615,0,7,1,1,10,0,1,10.96609,0.525,0.9814019,1,1,1,0,0,0.8677064,0,0,1,0,0.3,Heuristic,0.3,0.0
30538,40,6a2dbdab-ff87-4ace-aa58-5d92fe79d15d,40,2023-05-16 21:23:11.838,0,4,1,1,10,0,1,14.83614,0.5916667,1.083384,1,1,1,0,0,0.7356548,0,0,1,0,0.3,Heuristic,0.3,0.0
31280,27,bc97ce01-067a-4ad2-b836-d1aa56d88f35,40,2023-05-16 18:16:22.861,0,1,1,1,10,0,1,2.284353,0.5166667,0.667549,1,1,1,0,0,0.9063364,0,0,1,0,0.1133333,Heuristic,0.3,0.1866667
30695,3,0f3acfd2-74bc-4273-be16-b6d81f04db6a,40,2023-05-16 11:55:43.842,0,9,1,1,10,0,1,16.83333,0.5768073,0.9672232,1,1,1,0,0,0.6222042,0,0,1,0,0.2766667,Heuristic,0.3,0.0233333
30160,23,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 16:37:17.849,0,3,1,1,10,0,1,10.5532,0.5515867,0.9509276,1,1,1,0,0,0.818057,0,0,1,0,0.1833333,Heuristic,0.3,0.1166666999999999
30324,12,3f09d970-872a-4fde-9535-8e0046710c61,40,2023-05-16 14:12:55.962,0,2,1,1,10,0,1,16.54299,0.5265117,1.14732,1,1,1,0,0,0.6265337,0,0,1,0,0.2533333,Heuristic,0.3,0.0466667
30773,31,00a3f80e-996f-41ca-b122-512a8ff8e4de,40,2023-05-16 19:21:48.687,0,2,1,1,10,0,1,14.90068,0.5,0.833317,1,1,1,0,0,0.5784209,0,0,1,0,0.3933333,Heuristic,0.3,0.0933333
30793,51,00a3f80e-996f-41ca-b122-512a8ff8e4de,40,2023-05-17 00:47:30.985,0,5,1,1,10,0,1,5.945721,0.573975,0.5523323,1,1,1,0,0,0.587359,0,0,1,0,0.1433333,Heuristic,0.3,0.1566667
31413,42,e5af4479-d767-4fc5-a762-3e55c69df472,40,2023-05-16 22:14:34.938,0,6,1,1,10,0,1,8.391273,0.5513862,0.5,1,1,1,0,0,0.5497625,0,0,1,0,0.4166667,Heuristic,0.3,0.1166667
30158,25,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 17:10:45.879,0,4,1,1,10,0,1,6.290116,0.5855688,0.7921939,1,1,1,0,0,0.8116574,0,0,1,0,0.3033333,Heuristic,0.3,0.0033332999999999
30581,35,4cf5f922-1b0f-41f9-b85f-ff97f18066c1,40,2023-05-16 20:17:29.910,0,8,1,1,10,0,1,9.655663,0.5833334,1.237542,1,1,1,0,0,0.9583333,0,0,1,0,0.34,Heuristic,0.3,0.04
30797,27,00a3f80e-996f-41ca-b122-512a8ff8e4de,40,2023-05-16 18:18:31.838,0,3,1,1,10,0,1,10.95595,0.5916667,0.5,1,1,1,0,0,0.5,0,0,1,0,0.56,Heuristic,0.3,0.26
30051,47,eca26cc3-57c4-4ba1-9527-6d76e04fc92a,40,2023-05-16 23:55:46.214,0,6,1,1,10,0,1,16.57166,0.5025563,1.390742,1,1,1,0,0,0.8105136,0,0,1,0,0.1333333,Heuristic,0.3,0.1666667
30529,31,6a2dbdab-ff87-4ace-aa58-5d92fe79d15d,40,2023-05-16 19:02:52.372,0,4,1,1,10,0,1,6.990239,0.5482864,0.5833333,1,1,1,0,0,0.6811571,0,0,1,0,0.47,Heuristic,0.3,0.1699999999999999
30153,31,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 18:40:57.346,0,2,1,1,10,0,1,4.706242,0.5833372,0.6005288,1,1,1,0,0,0.7810744,0,0,1,0,0.2466667,Heuristic,0.3,0.0533333
30434,51,68588c17-7f39-4083-8d96-81758430680c,40,2023-05-17 00:44:47.109,0,9,1,1,10,0,1,12.68325,0.5498205,0.8328975,1,1,1,0,0,0.6974799,0,0,1,0,0.3633333,Heuristic,0.3,0.0633333
29286,19,e69ab1a8-ed9c-44e3-bbfb-35ec692c259e,40,2023-05-16 16:17:14.820,0,1,1,1,10,0,1,8.486571,0.5166667,0.6391323,1,1,1,0,0,0.6170313,0,0,1,0,0.2933333,Heuristic,0.3,0.0066666999999999
29297,42,e69ab1a8-ed9c-44e3-bbfb-35ec692c259e,40,2023-05-16 22:37:43.785,0,2,1,1,10,0,1,14.46452,0.5503979,1.253941,1,1,1,0,0,0.9035884,0,0,1,0,0.2066667,Heuristic,0.3,0.0933332999999999
31050,41,1b596f80-7832-44d5-b82f-0c22457aafd9,40,2023-05-16 21:53:35.335,0,8,1,1,10,0,1,7.504464,0.5419401,0.7736969,1,1,1,0,0,0.8605162,0,0,1,0,0.17,Heuristic,0.3,0.1299999999999999
30019,10,eca26cc3-57c4-4ba1-9527-6d76e04fc92a,40,2023-05-16 13:37:53.668,0,5,1,1,10,0,1,4.745718,0.5339627,0.9765975,1,1,1,0,0,0.9740558,0,0,1,0,0.19,Heuristic,0.3,0.1099999999999999
30845,45,02b13f42-c709-43e9-833b-374c09f1f51d,40,2023-05-16 22:28:00.439,0,8,1,1,10,0,1,13.80188,0.5136691,1.052318,1,1,1,0,0,0.7544335,0,0,1,0,0.2366667,Heuristic,0.3,0.0633332999999999
31794,44,b18308cc-4b8f-4852-8fb0-e8036c5e547f,40,2023-05-16 22:44:21.487,0,0,1,1,10,0,1,12.42107,0.5280213,0.9166666,1,1,1,0,0,0.7086852,0,0,1,0,0.24,Heuristic,0.3,0.06
