EpisodeCount,StepCount,Time,InstanceUUID,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0]
1,2,2023-04-03 09:57:11.434,be1d019f-946b-4dcc-8487-a2eceeb5b368,0,5,1,1,10,0,1,7.878089,0.8005309,0.6301376,3,1,1,0,0,0.9244471,0,0,1,0,0.9583333
1,2,2023-04-03 09:57:11.471,1434dc66-7e39-4b91-9093-b969a790e126,0,3,1,1,10,0,1,7.17093,0.5966293,0.6575098,9,1,1,0,0,0.9919825,0,0,1,0,1
1,2,2023-04-03 09:57:11.749,3eb2c70c-ae88-4bf0-a1ce-d0eee0e19464,0,2,1,1,10,0,1,7.58494,0.7376818,1.042909,4,1,1,0,0,0.9070275,0,0,1,0,0.04123711
1,2,2023-04-03 09:57:12.129,e07a1d15-94c3-4008-b6fd-6d9c7d904c63,0,3,1,1,10,0,1,7.567963,0.9774464,1.12123,5,1,1,0,0,0.6637937,0,0,1,0,0
1,2,2023-04-03 09:57:12.250,1f9ea3d8-15df-4e07-85c7-41e25d0a7100,0,2,1,1,10,0,1,6.498182,0.896517,1.005997,8,1,1,0,0,0.9864805,0,0,1,0,0.4479167
1,2,2023-04-03 09:57:12.379,2928be5f-982f-43a3-9ac4-1b2200feb652,0,8,1,1,10,0,1,7.632021,0.7944435,0.996362,5,1,1,0,0,0.9250453,0,0,1,0,0.8229167
1,2,2023-04-03 09:57:14.327,7ff499d6-d3f7-4ad4-bcaf-59902227ad1b,0,4,1,1,10,0,1,6.160264,0.9874882,0.6945004,9,1,1,0,0,0.790273,0,0,1,0,0.375
1,2,2023-04-03 09:57:14.336,9bbd7ccb-bfc7-4ce5-b140-c9f100f45ec9,0,0,1,1,10,0,1,7.698671,0.6717898,1.161388,3,1,1,0,0,0.9181907,0,0,1,0,0.05208333
1,2,2023-04-03 09:57:15.265,1c76aa8f-5ef3-47e0-9f60-219ff8721d06,0,4,1,1,10,0,1,6.754316,0.6967152,0.7033638,5,1,1,0,0,0.6187982,0,0,1,0,0.05208333
1,2,2023-04-03 09:57:15.826,e80beb50-16b7-4883-ad32-6e7074e66b4f,0,9,1,1,10,0,1,6.23657,0.6967685,0.6746688,3,1,1,0,0,0.8067533,0,0,1,0,0.3541667
1,2,2023-04-03 09:57:16.382,becc45a8-952a-44e9-95a4-d8b2cabb1d45,0,2,1,1,10,0,1,7.502158,0.9702764,1.284949,7,1,1,0,0,0.5411257,0,0,1,0,0
1,2,2023-04-03 09:57:16.669,5ac87c69-e399-4c46-83f1-03dfb58b5670,0,8,1,1,10,0,1,7.964873,0.8062159,0.5267164,2,1,1,0,0,0.681358,0,0,1,0,0.875
1,2,2023-04-03 09:57:17.980,87dc2527-258f-487f-bcab-536473338e84,0,3,1,1,10,0,1,7.10298,0.9133871,0.9420904,1,1,1,0,0,0.5230862,0,0,1,0,0
1,2,2023-04-03 09:57:18.605,fc303b96-83a2-4b0e-b3d5-44dc69eee1ba,0,9,1,1,10,0,1,7.185053,0.777894,0.6044105,7,1,1,0,0,0.581488,0,0,1,0,0.7291667
1,2,2023-04-03 09:57:18.630,2019b507-5941-48a2-a04d-de150e504dfb,0,4,1,1,10,0,1,6.371324,0.7439545,1.481875,9,1,1,0,0,0.8001655,0,0,1,0,0.125
1,2,2023-04-03 09:57:22.200,6e6848b5-b693-4741-b277-9db9b872ba1e,0,5,1,1,10,0,1,6.580824,0.6768929,0.971764,9,1,1,0,0,0.513311,0,0,1,0,0.01041667
1,3,2023-04-03 09:57:22.950,1434dc66-7e39-4b91-9093-b969a790e126,0,3,1,1,10,0,1,7.170348,0.5975183,0.6582009,9,1,1,0,0,0.9922531,0,0,1,0,1
1,3,2023-04-03 09:57:25.834,2928be5f-982f-43a3-9ac4-1b2200feb652,0,8,1,1,10,0,1,7.632757,0.7955585,0.9969488,5,1,1,0,0,0.9256493,0,0,1,0,0.7604167
1,3,2023-04-03 09:57:25.942,be1d019f-946b-4dcc-8487-a2eceeb5b368,0,5,1,1,10,0,1,7.878586,0.8014831,0.6309633,3,1,1,0,0,0.9252434,0,0,1,0,0.9895833
1,3,2023-04-03 09:57:27.246,1f9ea3d8-15df-4e07-85c7-41e25d0a7100,0,2,1,1,10,0,1,6.498412,0.8974693,1.00622,8,1,1,0,0,0.9871303,0,0,1,0,0.2886598
1,3,2023-04-03 09:57:27.520,9bbd7ccb-bfc7-4ce5-b140-c9f100f45ec9,0,0,1,1,10,0,1,7.699088,0.6730434,1.161984,3,1,1,0,0,0.9184452,0,0,1,0,0.1875
1,3,2023-04-03 09:57:29.332,e07a1d15-94c3-4008-b6fd-6d9c7d904c63,0,3,1,1,10,0,1,7.569458,0.9784452,1.121794,5,1,1,0,0,0.6646984,0,0,1,0,0
1,3,2023-04-03 09:57:30.899,e80beb50-16b7-4883-ad32-6e7074e66b4f,0,9,1,1,10,0,1,6.236881,0.6972348,0.6748049,3,1,1,0,0,0.8071005,0,0,1,0,0.34375
1,3,2023-04-03 09:57:32.543,1c76aa8f-5ef3-47e0-9f60-219ff8721d06,0,4,1,1,10,0,1,6.755051,0.6971346,0.7036968,5,1,1,0,0,0.6191162,0,0,1,0,0.07291666
1,3,2023-04-03 09:57:34.119,7ff499d6-d3f7-4ad4-bcaf-59902227ad1b,0,4,1,1,10,0,1,6.160728,0.9880225,0.6946316,9,1,1,0,0,0.7911559,0,0,1,0,0.5
1,3,2023-04-03 09:57:34.809,becc45a8-952a-44e9-95a4-d8b2cabb1d45,0,2,1,1,10,0,1,7.50338,0.9713144,1.285582,7,1,1,0,0,0.5419172,0,0,1,0,0
1,3,2023-04-03 09:57:35.615,5ac87c69-e399-4c46-83f1-03dfb58b5670,0,8,1,1,10,0,1,7.965904,0.8069229,0.5274734,2,1,1,0,0,0.6821004,0,0,1,0,0.6666667
1,4,2023-04-03 09:57:36.591,1434dc66-7e39-4b91-9093-b969a790e126,0,3,1,1,10,0,1,7.169768,0.5984077,0.6588912,9,1,1,0,0,0.9925253,0,0,1,0,0.9791667
1,3,2023-04-03 09:57:37.010,2019b507-5941-48a2-a04d-de150e504dfb,0,4,1,1,10,0,1,6.371609,0.7449754,1.481976,9,1,1,0,0,0.8002617,0,0,1,0,0.0625
1,3,2023-04-03 09:57:37.121,fc303b96-83a2-4b0e-b3d5-44dc69eee1ba,0,9,1,1,10,0,1,7.186028,0.7783455,0.6049139,7,1,1,0,0,0.5820243,0,0,1,0,0.6770833
1,3,2023-04-03 09:57:39.356,87dc2527-258f-487f-bcab-536473338e84,0,3,1,1,10,0,1,7.104252,0.9140306,0.9426327,1,1,1,0,0,0.5237616,0,0,1,0,0
1,4,2023-04-03 09:57:39.542,2928be5f-982f-43a3-9ac4-1b2200feb652,0,8,1,1,10,0,1,7.633495,0.7966744,0.9975356,5,1,1,0,0,0.926256,0,0,1,0,0.6770833
1,4,2023-04-03 09:57:40.078,9bbd7ccb-bfc7-4ce5-b140-c9f100f45ec9,0,0,1,1,10,0,1,7.699509,0.6742976,1.16258,3,1,1,0,0,0.9187026,0,0,1,0,0.1340206
1,4,2023-04-03 09:57:41.029,1f9ea3d8-15df-4e07-85c7-41e25d0a7100,0,2,1,1,10,0,1,6.498641,0.8984227,1.006443,8,1,1,0,0,0.987782,0,0,1,0,0.2708333
1,3,2023-04-03 09:57:41.366,6e6848b5-b693-4741-b277-9db9b872ba1e,0,5,1,1,10,0,1,6.58157,0.6773357,0.9720625,9,1,1,0,0,0.5134333,0,0,1,0,0.01041667
1,4,2023-04-03 09:57:41.985,be1d019f-946b-4dcc-8487-a2eceeb5b368,0,5,1,1,10,0,1,7.879085,0.8024364,0.6317892,3,1,1,0,0,0.926042,0,0,1,0,0.9793814
2,1,2023-04-03 09:57:43.636,3eb2c70c-ae88-4bf0-a1ce-d0eee0e19464,0,0,1,1,10,0,1,7.143482,0.9257188,1.155092,2,1,1,0,0,0.8742062,0,0,1,0,0.07291666
1,4,2023-04-03 09:57:44.559,e80beb50-16b7-4883-ad32-6e7074e66b4f,0,9,1,1,10,0,1,6.237193,0.6977017,0.6749412,3,1,1,0,0,0.8074486,0,0,1,0,0.4895833
1,4,2023-04-03 09:57:45.348,e07a1d15-94c3-4008-b6fd-6d9c7d904c63,0,3,1,1,10,0,1,7.570956,0.9794457,1.122358,5,1,1,0,0,0.6656059,0,0,1,0,0
1,5,2023-04-03 09:57:47.437,1434dc66-7e39-4b91-9093-b969a790e126,0,3,1,1,10,0,1,7.169192,0.5992975,0.6595806,9,1,1,0,0,0.9927991,0,0,1,0,0.9895833
1,4,2023-04-03 09:57:49.431,7ff499d6-d3f7-4ad4-bcaf-59902227ad1b,0,4,1,1,10,0,1,6.161191,0.9885578,0.6947634,9,1,1,0,0,0.7920401,0,0,1,0,0.3854167
1,4,2023-04-03 09:57:51.317,1c76aa8f-5ef3-47e0-9f60-219ff8721d06,0,4,1,1,10,0,1,6.755786,0.6975548,0.70403,5,1,1,0,0,0.6194351,0,0,1,0,0.07291666
1,5,2023-04-03 09:57:53.078,9bbd7ccb-bfc7-4ce5-b140-c9f100f45ec9,0,0,1,1,10,0,1,7.699933,0.6755525,1.163174,3,1,1,0,0,0.9189628,0,0,1,0,0.2083333
1,4,2023-04-03 09:57:53.259,becc45a8-952a-44e9-95a4-d8b2cabb1d45,0,2,1,1,10,0,1,7.504604,0.9723544,1.286214,7,1,1,0,0,0.5427116,0,0,1,0,0
1,4,2023-04-03 09:57:54.124,2019b507-5941-48a2-a04d-de150e504dfb,0,4,1,1,10,0,1,6.371893,0.7459971,1.482076,9,1,1,0,0,0.8003601,0,0,1,0,0.125
1,5,2023-04-03 09:57:54.594,2928be5f-982f-43a3-9ac4-1b2200feb652,0,8,1,1,10,0,1,7.634235,0.7977914,0.9981223,5,1,1,0,0,0.9268653,0,0,1,0,0.7916667
