Wall time,Step,Value
1680866601.0886157,100,0.15507946908473969
1680866738.7606072,200,0.078125
1680866799.728956,300,0.3802083432674408
1680866933.3617702,500,0.6000000238418579
1680867003.2069113,600,0.5143077373504639
1680867266.3758287,700,0.32761168479919434
1680867430.657018,900,0.38631802797317505
1680867530.9852176,1000,0.17319583892822266
1680867661.2844524,1100,0.40921393036842346
1680867721.0192044,1200,0.6000000238418579
1680867807.3793564,1300,0.6000000238418579
1680867892.5097392,1400,0.3420049548149109
1680868039.517773,1500,0.6000000238418579
1680868113.7330158,1600,0.16041666269302368
1680868260.2872078,1700,0.5326530933380127
1680868442.5558846,1800,0.4177083373069763
1680868615.9058368,1900,0.5895833373069763
1680868717.5492978,2000,0.4859127104282379
1680868856.1335015,2100,0.1208333671092987
1680869004.2967608,2200,0.41979166865348816
1680869115.7767859,2300,0.44901150465011597
1680869302.7666597,2400,0.5270833373069763
1680869478.4924572,2500,0.15134993195533752
1680869574.6492639,2600,0.6000000238418579
1680869688.3886235,2700,0.08958333730697632
1680869850.965961,2800,0.39479169249534607
1680869988.345779,2900,0.28482142090797424
1680870194.6323154,3000,0.2437499761581421
1680870291.3049448,3200,0.6000000238418579
1680870367.7368836,3300,0.5057291984558105
1680870540.6775026,3400,0.3341740369796753
1680870636.5074327,3500,0.2395833432674408
1680870829.4217796,3600,0.34583333134651184
1680870969.26723,3700,0.39132654666900635
1680871103.3993478,3800,0.16800540685653687
1680871191.0929208,3900,0.3541666567325592
1680871237.4463785,4000,0.02708333730697632
1680871326.692261,4100,0.2699044346809387
1680871407.365945,4200,0.5167010426521301
1680871753.7937968,4300,0.24444445967674255
1680871868.4011977,4400,0.32232069969177246
1680871932.5635252,4500,0.3760417103767395
1680872107.4273937,4600,0.4454166889190674
1680872214.9658813,4700,0.11080864071846008
1680872327.0461884,4800,0.3213541805744171
1680872461.180562,4900,0.32756659388542175
1680872711.1241071,5000,0.2664966285228729
1680872897.3109183,5100,0.19075387716293335
1680873025.9904053,5200,0.2445661723613739
1680873154.547652,5300,0.1360825002193451
1680873253.7317953,5400,0.2770833373069763
1680873321.13049,5500,0.3534722626209259
1680873435.3477085,5600,0.3734375238418579
1680873580.8875856,5700,0.2631944715976715
1680873676.0138783,5800,0.24435092508792877
1680873892.5637262,5900,0.518750011920929
1680874026.172389,6000,0.328125
1680874081.6260138,6100,0.6000000238418579
1680874317.2051146,6200,0.2556438744068146
1680874427.6656382,6300,0.17091816663742065
1680874514.424312,6400,0.057291656732559204
1680874714.0820754,6500,0.1872236281633377
1680874911.3867838,6600,0.23680557310581207
1680875065.8603323,6700,0.1997530162334442
1680875142.0588117,6800,0.14166668057441711
1680875277.236772,6900,0.35145244002342224
1680875565.587175,7000,0.13836389780044556
1680875763.2635024,7200,0.3854166865348816
1680875975.1111047,7300,0.3760417103767395
1680876070.3991587,7400,0.25759580731391907
1680876170.7820125,7500,0.14166668057441711
1680876339.638238,7600,0.22032147645950317
1680876569.224617,7700,0.20364585518836975
1680876640.943191,7800,0.6000000238418579
1680876692.1778877,7900,0.24791665375232697
1680876831.4968257,8000,0.47886601090431213
1680877034.7428603,8100,0.2927083671092987
1680877159.2342212,8200,0.10347224026918411
1680877479.7185318,8300,0.29152578115463257
1680877694.959518,8500,0.6000000238418579
1680877833.9866679,8600,0.6000000238418579
1680877937.223908,8700,0.20916666090488434
1680878019.6779234,8800,0.3326389193534851
1680878233.5896263,8900,0.2794673442840576
1680878599.2527173,9000,0.30991193652153015
1680878810.8766072,9200,0.6000000238418579
1680878937.286808,9300,0.11546394228935242
1680879049.5880258,9400,0.3747207820415497
1680879133.917705,9500,0.1979166865348816
1680879277.300482,9600,0.4188842177391052
1680879560.4687026,9700,0.22999998927116394
1680879693.0233617,9800,0.2784450054168701
1680879816.1812415,9900,0.20979812741279602
1680879937.935537,10000,0.14654600620269775
1680880072.0783367,10100,0.6000000238418579
